trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration
600,BUY,res1,2025-10-15T12:05:00,24307.15,24382.15,2025-10-15T12:15:00,24286.35,STOP_LOSS,-20.80000000000291,10.0
601,BUY,sup1,2025-10-15T15:35:00,24212.65,24287.65,2025-10-15T16:10:00,24282.95,TARGET,70.29999999999927,35.0
602,BUY,res1,2025-10-16T11:50:00,24209.55,24284.55,2025-10-17T09:00:00,23883.45,STOP_LOSS,-326.09999999999854,1270.0
603,BUY,sup1,2025-10-17T10:25:00,23751.75,23826.75,2025-10-17T13:15:00,23845.85,TARGET,94.09999999999854,170.0
604,BUY,res1,2025-10-17T15:55:00,23944.75,24019.75,2025-10-20T09:00:00,24029.15,TARGET,84.40000000000146,3905.0
605,BUY,res1,2025-10-20T12:00:00,24131.95,24206.95,2025-10-20T13:00:00,24094.25,STOP_LOSS,-37.70000000000073,60.0
606,BUY,sup1,2025-10-21T12:00:00,24232.65,24307.65,2025-10-21T12:15:00,24211.25,STOP_LOSS,-21.400000000001455,15.0
607,BUY,sup1,2025-10-21T12:50:00,24245.25,24320.25,2025-10-21T13:35:00,24328.35,TARGET,83.09999999999854,45.0
608,BUY,res1,2025-10-21T14:00:00,24322.05,24397.05,2025-10-21T14:15:00,24279.05,STOP_LOSS,-43.0,15.0
609,BUY,sup1,2025-10-22T11:00:00,24259.85,24334.85,2025-10-22T16:30:00,24225.25,STOP_LOSS,-34.599999999998545,330.0
610,BUY,sup1,2025-10-23T14:45:00,24081.65,24156.65,2025-10-23T15:40:00,24162.25,TARGET,80.59999999999854,55.0
611,BUY,res1,2025-10-24T11:40:00,24235.65,24310.65,2025-10-24T12:40:00,24194.85,STOP_LOSS,-40.80000000000291,60.0
612,BUY,sup1,2025-10-24T13:45:00,24196.85,24271.85,2025-10-27T09:00:00,24333.35,TARGET,136.5,4035.0
613,BUY,res1,2025-10-27T09:40:00,24286.35,24361.35,2025-10-27T12:15:00,24228.35,STOP_LOSS,-58.0,155.0
614,BUY,sup1,2025-10-27T14:40:00,24232.75,24307.75,2025-10-28T09:15:00,24194.95,STOP_LOSS,-37.79999999999927,1115.0
615,BUY,sup1,2025-10-28T09:45:00,24226.05,24301.05,2025-10-28T10:20:00,24288.75,TARGET,62.70000000000073,35.0
616,BUY,res1,2025-10-28T13:00:00,24290.55,24365.55,2025-10-28T13:50:00,24276.25,STOP_LOSS,-14.299999999999272,50.0
